id;query;answer;hi_answer
1070441_0;Why do cars come with horns today?;Today it is just a moniker. In old times it referred to a car with 2 windshields and a foldable top. It was an open model with a second wind screen for the passengers. It was a luxury model.;"
				Today it is just a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;moniker&lt;/strong&gt;&lt;/span&gt;. In old times it referred to a car with 2 &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;windshields&lt;/strong&gt;&lt;/span&gt; and a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;foldable&lt;/strong&gt;&lt;/span&gt; top. It was an open &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;model&lt;/strong&gt;&lt;/span&gt; with a second wind screen for the passengers. It was a luxury &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;model&lt;/strong&gt;&lt;/span&gt;.
			"
1070441_1;Why do cars come with horns today?;"For some, a horn is a cheery way to say ""Oh my goodness, I certainly can't drive, and have no understanding of Newton and his relevance to my own impending doom, but I think *this* button my be the answer to my problems."" It isn't, of course.. . For others, the horn exclaims, in a loud and irate way, ""I am a complete encephalofecal idiot, and you'd best get out of my way because as such, I would not be responsible for my own actions should I lose control of my vehicle, my emotions, or my bodily functions."" Message received, loud and clear.";"
				For some, a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;horn&lt;/strong&gt;&lt;/span&gt; is a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;cheery&lt;/strong&gt;&lt;/span&gt; way to say ""&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Oh&lt;/strong&gt;&lt;/span&gt; my goodness, I certainly can't drive, and have no understanding of &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Newton&lt;/strong&gt;&lt;/span&gt; and his relevance to my own impending doom, but I think *this* button my be the answer to my problems.""  It isn't, of course.. . For others, the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;horn&lt;/strong&gt;&lt;/span&gt; exclaims, in a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;loud&lt;/strong&gt;&lt;/span&gt; and irate way, ""I am a complete &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;encephalofecal&lt;/strong&gt;&lt;/span&gt; idiot, and you'd best get out of my way because as such, I would not be responsible for my own actions should I lose control of my vehicle, my emotions, or my bodily functions.""  &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Message&lt;/strong&gt;&lt;/span&gt; received, &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;loud&lt;/strong&gt;&lt;/span&gt; and clear.
			"
1174025_0;How can we the people define ourselves?;"It's human nature. But we can teach ourselves to look beyond the superficial and learn to appreciate, love and accept people for who they truly are inside. The ""media standard"" of beauty has created a stereotypical attractive package. There is so much disparity in treatment based on how you look, and it is absolutely dead wrong.";"
				It's human nature.  But we can teach ourselves to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;look&lt;/strong&gt;&lt;/span&gt; beyond the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;superficial&lt;/strong&gt;&lt;/span&gt; and learn to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;appreciate&lt;/strong&gt;&lt;/span&gt;, love and accept people for who they truly are inside.  The ""media standard"" of beauty has created a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;stereotypical&lt;/strong&gt;&lt;/span&gt; attractive package.  There is so much &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;disparity&lt;/strong&gt;&lt;/span&gt; in treatment based on how you &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;look&lt;/strong&gt;&lt;/span&gt;, and it is absolutely dead wrong.
			"
1174025_1;How can we the people define ourselves?;You don't (and can't) convince the world... because people will always have their own opinions and takes on the situation and you, unfortunately, can do very little to change that.. . That's my experience as a Jew (and Israeli). I think you have to learn to live with the pain and stop caring what other people think of you, because people will always put labels on each other. It's their way of making 'sense' of the world around them...;"
				You don't (and can't) convince the world... because &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;people&lt;/strong&gt;&lt;/span&gt; will &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;always&lt;/strong&gt;&lt;/span&gt; have their own opinions and takes on the situation and you, unfortunately, can do very little to change that.. . That's my experience as a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Jew&lt;/strong&gt;&lt;/span&gt; (and &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Israeli&lt;/strong&gt;&lt;/span&gt;). I &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;think&lt;/strong&gt;&lt;/span&gt; you have to learn to live with the pain and stop caring what other &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;people&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;think&lt;/strong&gt;&lt;/span&gt; of you, because &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;people&lt;/strong&gt;&lt;/span&gt; will &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;always&lt;/strong&gt;&lt;/span&gt; put labels on each other. It's their way of making 'sense' of the world around them...
			"
1208772_0;Why did Australia leave the Vietnam war?;Because at the time, his dad was head of the CIA. You can't have the child of a high-positioned official in war-that would make him a target for kidnapping, and would have put his dad in a conflict-of-interest situation. The kidnappers would be making demands contrary to the policy of the war, and Bush 41 would have been likely to do whatever he had to for his kid.. . PS- This is a classic liberal line-if they're the ones that are so against the Vietnam War, shouldn't they be praising Bush for not serving in war?;"
				Because at the time, his &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;dad&lt;/strong&gt;&lt;/span&gt; was head of the CIA.  You can't have the child of a high-positioned official in war-that would make him a target for &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;kidnapping&lt;/strong&gt;&lt;/span&gt;, and would have put his &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;dad&lt;/strong&gt;&lt;/span&gt; in a conflict-of-interest situation.  The &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;kidnappers&lt;/strong&gt;&lt;/span&gt; would be making demands contrary to the policy of the war, and &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Bush&lt;/strong&gt;&lt;/span&gt; 41 would have been likely to do whatever he had to for his kid.. . PS- This is a classic liberal line-if they're the ones that are so against the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Vietnam&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;War&lt;/strong&gt;&lt;/span&gt;, shouldn't they be praising &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Bush&lt;/strong&gt;&lt;/span&gt; for not serving in war?
			"
1208772_1;Why did Australia leave the Vietnam war?;"At the time of the Vietnam war there was no such thing.The Vietnamese conflict as it was referred to, was supposedly only a peacekeeping action.We sent Advisors as early as 1966[W&gt;O&gt;Payne winning a Victoria Cross]. Then Conscription started.If your birth date came up off you went to training camp and then to Vietnam.This caused massive demos against ""the war""[morotoriums] realising in a political backlash on Govt.Then at the next election,Gough Whitlams Labour perty gained power and home came the troops.AND to what BLOODY NOTHING.. No recognition,no medals,people would spit on you in the street and you weren't allowed to join the RSL.because after all,it was only a police action.. It took until 1988[20 bloody years] before the veterans were welcomed home.. These are just random thoughts you can put together as a complete answer.I can't do all your homework for you";"
				At the time of the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Vietnam&lt;/strong&gt;&lt;/span&gt; war there was no such thing.The &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Vietnamese&lt;/strong&gt;&lt;/span&gt; conflict as it was referred to, was supposedly only a peacekeeping action.We sent &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Advisors&lt;/strong&gt;&lt;/span&gt; as early as 1966[&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;W&lt;/strong&gt;&lt;/span&gt;&gt;O&gt;&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Payne&lt;/strong&gt;&lt;/span&gt; winning a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Victoria&lt;/strong&gt;&lt;/span&gt; Cross]. Then Conscription started.If your birth date came up off you went to training camp and then to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Vietnam&lt;/strong&gt;&lt;/span&gt;.This caused massive demos against ""the war""[morotoriums] realising in a political backlash on &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Govt&lt;/strong&gt;&lt;/span&gt;.Then at the next election,&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Gough&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Whitlams&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Labour&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;perty&lt;/strong&gt;&lt;/span&gt; gained power and home came the troops.AND to what &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;BLOODY&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;NOTHING&lt;/strong&gt;&lt;/span&gt;.. No recognition,no medals,people would spit on you in the street and you weren't allowed to join the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;RSL&lt;/strong&gt;&lt;/span&gt;.because after all,it was only a police action.. It took until 1988[20 &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;bloody&lt;/strong&gt;&lt;/span&gt; years] before the veterans were welcomed home.. These are just random thoughts you can put together as a complete answer.I can't do all your homework for you
			"
1251238_0;Why is ice less dense than water?;Density is the mass per volume. Buoyancy is the comparison of an object's density with the density of the surroundings. Helium balloons rise being lifted by the surrounding air sinking around them. They are less dense than the air they displace, hence are buoyant.;"
				&lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Density&lt;/strong&gt;&lt;/span&gt; is the mass per volume.  &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Buoyancy&lt;/strong&gt;&lt;/span&gt; is the comparison of an object's &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;density&lt;/strong&gt;&lt;/span&gt; with the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;density&lt;/strong&gt;&lt;/span&gt; of the surroundings.  &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Helium&lt;/strong&gt;&lt;/span&gt; balloons rise being lifted by the surrounding air sinking around them.  They are less dense than the air they &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;displace&lt;/strong&gt;&lt;/span&gt;, hence are &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;buoyant&lt;/strong&gt;&lt;/span&gt;.
			"
1251238_1;Why is ice less dense than water?;The molecules of water are closer together and constantly moving, whereas the molecules of ice are in a crystal lattice, meaning they're in a rigid formation. When water freezes, the molecules spread out a little more to form the crystal lattice. Since density is mass over volume, and ice has takes up more volume than water, the density of ice is lesser than that of water. Which makes ice float on water.;"
				The &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;molecules&lt;/strong&gt;&lt;/span&gt; of &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;water&lt;/strong&gt;&lt;/span&gt; are closer together and constantly moving, whereas the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;molecules&lt;/strong&gt;&lt;/span&gt; of &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;ice&lt;/strong&gt;&lt;/span&gt; are in a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;crystal&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;lattice&lt;/strong&gt;&lt;/span&gt;, meaning they're in a rigid formation. When &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;water&lt;/strong&gt;&lt;/span&gt; freezes, the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;molecules&lt;/strong&gt;&lt;/span&gt; spread out a little more to form the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;crystal&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;lattice&lt;/strong&gt;&lt;/span&gt;. Since density is mass over volume, and &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;ice&lt;/strong&gt;&lt;/span&gt; has takes up more volume than &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;water&lt;/strong&gt;&lt;/span&gt;, the density of &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;ice&lt;/strong&gt;&lt;/span&gt; is lesser than that of &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;water&lt;/strong&gt;&lt;/span&gt;. Which makes &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;ice&lt;/strong&gt;&lt;/span&gt; float on &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;water&lt;/strong&gt;&lt;/span&gt;.
			"
1330416_0;What is the definition of force?;A generator is a machine that converts mechanical power to electrical power, by making a conductor cut across a magnetic field's lines of force. This is done by moving either the conductor or the magnetic field. Current flows in the conductor if its ends are connected to an electrical load thus producing electrical power. Because an opposing magnetic field is created by the current in the conductor, it requires mechanical energy to maintain this motion.;"
				A generator is a machine that converts &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;mechanical&lt;/strong&gt;&lt;/span&gt; power to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;electrical&lt;/strong&gt;&lt;/span&gt; power, by making a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;conductor&lt;/strong&gt;&lt;/span&gt; cut across a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;magnetic&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;field&lt;/strong&gt;&lt;/span&gt;'s lines of force.  This is done by moving either the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;conductor&lt;/strong&gt;&lt;/span&gt; or the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;magnetic&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;field&lt;/strong&gt;&lt;/span&gt;.  Current flows in the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;conductor&lt;/strong&gt;&lt;/span&gt; if its ends are connected to an &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;electrical&lt;/strong&gt;&lt;/span&gt; load thus producing &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;electrical&lt;/strong&gt;&lt;/span&gt; power.  Because an opposing &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;magnetic&lt;/strong&gt;&lt;/span&gt; &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;field&lt;/strong&gt;&lt;/span&gt; is created by the current in the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;conductor&lt;/strong&gt;&lt;/span&gt;, it requires &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;mechanical&lt;/strong&gt;&lt;/span&gt; energy to maintain this motion.
			"
1330416_1;What is the definition of force?;In physics, a force is anything that causes a body with mass to accelerate. The net (or resultant) force is the sum of all the different forces acting on a body.. . Force is a vector quantity defined as the rate of change of momentum induced by the force, and therefore has a direction associated. The SI unit for force is the newton.;"
				In physics, a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;force&lt;/strong&gt;&lt;/span&gt; is anything that causes a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;body&lt;/strong&gt;&lt;/span&gt; with mass to &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;accelerate&lt;/strong&gt;&lt;/span&gt;. The net (or &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;resultant&lt;/strong&gt;&lt;/span&gt;) &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;force&lt;/strong&gt;&lt;/span&gt; is the sum of all the different forces acting on a &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;body&lt;/strong&gt;&lt;/span&gt;.. . &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;Force&lt;/strong&gt;&lt;/span&gt; is a vector quantity defined as the rate of change of momentum &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;induced&lt;/strong&gt;&lt;/span&gt; by the &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;force&lt;/strong&gt;&lt;/span&gt;, and therefore has a direction associated. The &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;SI&lt;/strong&gt;&lt;/span&gt; unit for &lt;span style=""color: #0000ff;""&gt;&lt;strong&gt;force&lt;/strong&gt;&lt;/span&gt; is the newton.
			"
